epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,10658.6,1.3764,2.32763,1.03097,1.28094,0,0.46391,0.42268,0.43719,0.23164,0.47665,0.37986,0.40647,0.17867,1.96936,3.05733,1.48321,1.72574,0,0.000898316,0.000898316,0.000898316
29,11021.2,1.36499,2.29886,1.03091,1.28538,0,0.46135,0.45253,0.43665,0.22724,0.46164,0.43435,0.40975,0.17667,1.98265,3.04186,1.47748,1.71837,0,0.000890939,0.000890939,0.000890939
30,11386,1.34846,2.27696,0.99228,1.26699,0,0.46169,0.46067,0.44477,0.23012,0.46623,0.42468,0.39538,0.17236,1.91047,2.96587,1.44008,1.71383,0,0.000883336,0.000883336,0.000883336
31,11749.7,1.35645,2.29103,0.98155,1.26954,0,0.55341,0.41944,0.46022,0.24733,0.56505,0.39324,0.42714,0.19153,1.92665,3.05031,1.47364,1.7028,0,0.000875513,0.000875513,0.000875513
32,12114.3,1.34113,2.25036,0.9739,1.25933,0,0.51681,0.44387,0.46852,0.25156,0.48967,0.41759,0.42925,0.1978,1.94652,3.01863,1.47531,1.69564,0,0.000867473,0.000867473,0.000867473
33,12481.3,1.32492,2.2286,0.96219,1.2545,0,0.53622,0.41983,0.45056,0.2439,0.53532,0.41004,0.42309,0.19844,1.95334,2.95931,1.5003,1.71331,0,0.000859221,0.000859221,0.000859221
34,12845.2,1.32051,2.20008,0.92943,1.24172,0,0.5362,0.47339,0.49378,0.26022,0.53575,0.43086,0.44195,0.20592,1.94682,3.02071,1.44397,1.70289,0,0.000850763,0.000850763,0.000850763
35,13209.7,1.32135,2.21595,0.92775,1.23875,0,0.51422,0.43916,0.46553,0.25454,0.58582,0.40195,0.42656,0.20495,1.90063,3.00801,1.46406,1.66854,0,0.000842103,0.000842103,0.000842103
36,13572.2,1.32312,2.2169,0.93658,1.23534,0,0.5347,0.50809,0.52217,0.28674,0.54099,0.4491,0.46372,0.22863,1.8962,2.97199,1.4079,1.68129,0,0.000833246,0.000833246,0.000833246
37,13935,1.3052,2.18681,0.91579,1.23977,0,0.43534,0.4648,0.45687,0.25164,0.47582,0.38975,0.40311,0.19762,1.95722,3.07451,1.46087,1.71147,0,0.000824197,0.000824197,0.000824197
38,14297.4,1.30819,2.17483,0.90054,1.2218,0,0.56489,0.44537,0.47373,0.26784,0.57889,0.40417,0.43248,0.21212,1.89145,2.92468,1.48286,1.69854,0,0.000814962,0.000814962,0.000814962
39,14660.5,1.29308,2.14088,0.87122,1.22359,0,0.52622,0.49026,0.50442,0.28297,0.51197,0.47741,0.47842,0.22667,1.91551,2.90493,1.39873,1.68631,0,0.000805545,0.000805545,0.000805545
40,15023.7,1.28015,2.12404,0.87397,1.20609,0,0.5523,0.44513,0.48913,0.27653,0.50112,0.43235,0.44185,0.22328,1.95228,2.94667,1.44361,1.70984,0,0.000795954,0.000795954,0.000795954
