epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,593.99,1.16081,2.351,0.74304,1.20895,0,0.94147,0.86431,0.94711,0.68543,0.94239,0.87549,0.94426,0.63845,1.20955,2.15733,0.72627,1.42393,0,0.000956145,0.000956145,0.000956145
29,613.589,1.15597,2.28627,0.74947,1.18945,0,0.95382,0.83224,0.93888,0.67743,0.96202,0.84404,0.94261,0.65424,1.34908,2.00864,0.79528,1.53692,0,0.000952889,0.000952889,0.000952889
30,635.393,1.20975,2.45201,0.78197,1.22434,0,0.95037,0.8401,0.94493,0.69044,0.95142,0.84535,0.94358,0.65485,1.27693,2.01641,0.77639,1.48284,0,0.000949524,0.000949524,0.000949524
31,655.211,1.15042,2.30245,0.74162,1.20661,0,0.93399,0.85297,0.94095,0.65562,0.95475,0.85735,0.94422,0.6371,1.37744,1.85434,0.83573,1.51766,0,0.000946048,0.000946048,0.000946048
32,676.378,1.12253,2.2157,0.71319,1.17558,0,0.93468,0.86271,0.94454,0.67133,0.94383,0.8637,0.94525,0.64853,1.32374,1.95655,0.79183,1.47811,0,0.000942464,0.000942464,0.000942464
33,697.686,1.17572,2.34334,0.74781,1.21855,0,0.94637,0.85452,0.94688,0.68772,0.94354,0.86239,0.94526,0.6588,1.26702,2.15799,0.74894,1.46736,0,0.000938772,0.000938772,0.000938772
34,716.412,1.18074,2.37705,0.74906,1.21206,0,0.94292,0.86603,0.9517,0.67508,0.94149,0.86472,0.94567,0.64068,1.28043,2.04897,0.73296,1.43943,0,0.000934973,0.000934973,0.000934973
35,735.33,1.12996,2.228,0.71197,1.19253,0,0.94311,0.88073,0.95555,0.70804,0.94474,0.88336,0.95342,0.65956,1.13452,1.79393,0.69242,1.3558,0,0.000931067,0.000931067,0.000931067
36,755.959,1.12744,2.21254,0.71676,1.1889,0,0.92093,0.85487,0.94257,0.68749,0.929,0.87287,0.94699,0.63843,1.28989,1.86044,0.77666,1.50002,0,0.000927057,0.000927057,0.000927057
37,776.497,1.1566,2.30248,0.72068,1.19805,0,0.91804,0.88087,0.94902,0.69512,0.92177,0.88024,0.94568,0.64785,1.23859,1.89401,0.70771,1.4744,0,0.000922942,0.000922942,0.000922942
38,796.514,1.1444,2.32476,0.71651,1.19267,0,0.94072,0.8528,0.94476,0.6963,0.93266,0.8637,0.94182,0.66169,1.20556,1.76546,0.69808,1.41353,0,0.000918725,0.000918725,0.000918725
39,817.601,1.12686,2.28461,0.72407,1.18787,0,0.93884,0.86239,0.94543,0.69166,0.94374,0.87933,0.94611,0.66099,1.27388,1.91894,0.78501,1.48211,0,0.000914405,0.000914405,0.000914405
40,838.857,1.14452,2.30613,0.72962,1.20559,0,0.92432,0.84844,0.93661,0.67852,0.91983,0.86632,0.94059,0.65468,1.4182,2.01041,0.82474,1.56135,0,0.000909984,0.000909984,0.000909984
41,858.091,1.11299,2.1875,0.70024,1.17217,0,0.94321,0.8768,0.94923,0.67671,0.9472,0.88073,0.94777,0.64167,1.23172,1.85966,0.68904,1.39159,0,0.000905463,0.000905463,0.000905463
42,881.266,1.17563,2.372,0.72245,1.20715,0,0.94999,0.85845,0.95176,0.70506,0.93851,0.87811,0.95119,0.66157,1.17177,1.78256,0.64583,1.39145,0,0.000900844,0.000900844,0.000900844
43,900.949,1.10681,2.28527,0.7078,1.18161,0,0.92727,0.87287,0.95339,0.7027,0.95007,0.8637,0.95163,0.67587,1.23781,1.84868,0.71664,1.4511,0,0.000896127,0.000896127,0.000896127
44,922.56,1.13803,2.22561,0.70694,1.1859,0,0.94527,0.87025,0.94954,0.70119,0.94527,0.87025,0.9508,0.67159,1.2507,1.89297,0.72532,1.46062,0,0.000891313,0.000891313,0.000891313
45,942.631,1.07395,2.1177,0.66512,1.14439,0,0.92495,0.87418,0.95005,0.70037,0.92978,0.88991,0.94972,0.66873,1.21532,1.88608,0.72379,1.39044,0,0.000886404,0.000886404,0.000886404
46,963.495,1.12812,2.26918,0.71715,1.182,0,0.93963,0.8637,0.95184,0.70883,0.94671,0.86156,0.95156,0.67561,1.20178,1.79503,0.69493,1.38803,0,0.000881401,0.000881401,0.000881401
47,983.164,1.08654,2.18214,0.68855,1.16313,0,0.94783,0.84535,0.95252,0.72011,0.94638,0.85584,0.95047,0.67946,1.16027,1.67517,0.65574,1.35138,0,0.000876305,0.000876305,0.000876305
48,1004.16,1.08509,2.15017,0.67851,1.16076,0,0.9532,0.8637,0.9538,0.71308,0.95372,0.86427,0.94968,0.67448,1.16648,2.00169,0.71275,1.40401,0,0.000871117,0.000871117,0.000871117
49,1024.43,1.11749,2.20071,0.69498,1.18863,0,0.92526,0.88204,0.95072,0.71706,0.92971,0.88991,0.95057,0.66684,1.14449,1.94359,0.68226,1.37662,0,0.000865839,0.000865839,0.000865839
50,1045.69,1.13985,2.33907,0.72552,1.20799,0,0.92511,0.87428,0.95294,0.71806,0.92927,0.87821,0.9501,0.67946,1.10605,1.80213,0.62123,1.3282,0,0.000860473,0.000860473,0.000860473
51,1065.72,1.09057,2.184,0.68528,1.16942,0,0.94635,0.87848,0.95854,0.72234,0.94496,0.87756,0.95463,0.68312,1.11459,1.69228,0.6246,1.32583,0,0.000855018,0.000855018,0.000855018
52,1085.87,1.09635,2.17804,0.691,1.16543,0,0.93749,0.87156,0.95338,0.7162,0.94016,0.87942,0.95395,0.68338,1.19676,1.71664,0.66404,1.40493,0,0.000849477,0.000849477,0.000849477
53,1108.04,1.11445,2.23851,0.69734,1.17011,0,0.94068,0.86632,0.95228,0.71365,0.9421,0.86763,0.94634,0.66678,1.17976,1.762,0.66334,1.39635,0,0.000843851,0.000843851,0.000843851
54,1127.19,1.06929,2.06965,0.66878,1.15565,0,0.94552,0.86107,0.94854,0.70928,0.95272,0.86763,0.94907,0.68288,1.21647,1.70438,0.69967,1.42503,0,0.000838141,0.000838141,0.000838141
55,1149.35,1.05175,2.07868,0.64961,1.14809,0,0.95248,0.86763,0.95174,0.71702,0.94542,0.87025,0.94973,0.68264,1.16311,1.68446,0.64551,1.35752,0,0.000832349,0.000832349,0.000832349
56,1168.95,1.10092,2.23241,0.6968,1.17983,0,0.93743,0.88367,0.95692,0.73619,0.93723,0.89646,0.95949,0.69148,1.0727,1.65492,0.63888,1.30721,0,0.000826477,0.000826477,0.000826477
57,1188.44,1.05644,2.06887,0.65408,1.13871,0,0.93362,0.87156,0.95249,0.72009,0.9178,0.88467,0.95005,0.68883,1.11322,1.59202,0.65985,1.31873,0,0.000820525,0.000820525,0.000820525
58,1210.25,1.07319,2.15288,0.66886,1.14689,0,0.94775,0.88598,0.96178,0.73414,0.92565,0.90433,0.95725,0.69501,1.10391,1.66111,0.64473,1.33275,0,0.000814495,0.000814495,0.000814495
59,1229.75,1.06121,2.09171,0.66449,1.14083,0,0.94851,0.86894,0.95685,0.71689,0.95988,0.87807,0.95579,0.69154,1.19296,1.67816,0.62805,1.37614,0,0.000808389,0.000808389,0.000808389
60,1250.44,1.06228,2.08815,0.66504,1.14285,0,0.94099,0.89873,0.96173,0.72771,0.94534,0.89515,0.95545,0.69102,1.11489,1.71745,0.59082,1.32868,0,0.000802208,0.000802208,0.000802208
61,1271.88,1.08883,2.13634,0.66581,1.16277,0,0.93612,0.90267,0.96537,0.71834,0.94174,0.90433,0.95924,0.67858,1.16475,1.82176,0.62351,1.36787,0,0.000795954,0.000795954,0.000795954
62,1292.75,1.07712,2.15263,0.65494,1.15101,0,0.94586,0.89122,0.9574,0.71186,0.94614,0.89797,0.9579,0.68645,1.2241,1.72883,0.64296,1.38706,0,0.000789628,0.000789628,0.000789628
63,1311.67,1.06576,2.09434,0.66112,1.12996,0,0.93254,0.88771,0.95526,0.71841,0.93184,0.90301,0.95678,0.68852,1.18344,1.79471,0.6328,1.37155,0,0.000783231,0.000783231,0.000783231
64,1332.29,1.07426,2.12352,0.67408,1.15965,0,0.95091,0.86316,0.95381,0.71798,0.95377,0.85976,0.9502,0.68047,1.137,1.66042,0.63044,1.34525,0,0.000776766,0.000776766,0.000776766
65,1354.36,1.05605,2.12938,0.66334,1.14988,0,0.94023,0.8865,0.95868,0.72445,0.93879,0.88438,0.95747,0.69303,1.09294,1.73026,0.62848,1.30251,0,0.000770234,0.000770234,0.000770234
66,1374.34,1.05427,2.07238,0.64579,1.13312,0,0.94766,0.88204,0.95855,0.7255,0.93325,0.90695,0.9578,0.66981,1.09861,1.7497,0.63359,1.31911,0,0.000763637,0.000763637,0.000763637
67,1394.6,1.09864,2.19028,0.67036,1.16508,0,0.93483,0.89384,0.95974,0.73115,0.93705,0.89742,0.95942,0.69374,1.07875,1.59272,0.59921,1.30046,0,0.000756976,0.000756976,0.000756976
68,1417.15,1.07317,2.1372,0.65533,1.13448,0,0.95564,0.87519,0.9593,0.73289,0.95498,0.88991,0.95706,0.69029,1.08204,1.65553,0.61461,1.30242,0,0.000750252,0.000750252,0.000750252
69,1437.04,1.07704,2.17819,0.66939,1.15767,0,0.94902,0.87839,0.95655,0.71643,0.95046,0.88,0.95344,0.68786,1.1811,1.64054,0.64269,1.36785,0,0.000743468,0.000743468,0.000743468
70,1457.85,1.01738,1.99778,0.6222,1.11772,0,0.9483,0.87942,0.9615,0.74146,0.96093,0.87023,0.95515,0.69111,1.0569,1.64133,0.61619,1.28623,0,0.000736625,0.000736625,0.000736625
71,1479.77,1.04976,2.05667,0.64329,1.12817,0,0.94531,0.88346,0.9622,0.72932,0.94468,0.89527,0.95727,0.69562,1.09258,1.65096,0.62028,1.26616,0,0.000729725,0.000729725,0.000729725
72,1500.38,1.08554,2.22218,0.67067,1.15901,0,0.95215,0.88671,0.95812,0.72938,0.95077,0.88336,0.9536,0.68374,1.10314,1.60145,0.61414,1.28212,0,0.00072277,0.00072277,0.00072277
73,1522.05,1.05536,2.08938,0.64174,1.14065,0,0.9362,0.88729,0.95984,0.74766,0.94265,0.89122,0.95561,0.70291,1.01571,1.58814,0.57282,1.25078,0,0.000715761,0.000715761,0.000715761
74,1543.47,1.08191,2.13314,0.65611,1.15533,0,0.94513,0.88336,0.96423,0.7384,0.94513,0.88336,0.95654,0.69921,1.06676,1.54999,0.5924,1.26217,0,0.0007087,0.0007087,0.0007087
75,1564.33,1.07553,2.11515,0.65853,1.13993,0,0.92593,0.90957,0.95998,0.74122,0.92564,0.91088,0.95794,0.69702,1.02635,1.58312,0.58465,1.23692,0,0.000701588,0.000701588,0.000701588
76,1586.03,1.0479,2.0423,0.63119,1.12916,0,0.93835,0.89766,0.96151,0.73649,0.93835,0.89766,0.95865,0.70898,1.04119,1.58004,0.57652,1.23838,0,0.000694428,0.000694428,0.000694428
77,1606.11,1.01961,1.99852,0.6145,1.1214,0,0.95178,0.87965,0.9648,0.73972,0.94348,0.89384,0.96144,0.69689,1.08371,1.59198,0.58778,1.29356,0,0.000687222,0.000687222,0.000687222
78,1626.58,1.068,2.13156,0.65883,1.15193,0,0.96436,0.88645,0.96711,0.74621,0.96721,0.88908,0.9615,0.69676,1.0288,1.57856,0.57915,1.27059,0,0.00067997,0.00067997,0.00067997
79,1649.41,1.08232,2.18647,0.66737,1.17098,0,0.94827,0.88729,0.96576,0.73203,0.95925,0.89473,0.95899,0.70365,1.10105,1.5953,0.5996,1.30284,0,0.000672675,0.000672675,0.000672675
80,1669.61,1.0302,2.02179,0.62489,1.12345,0,0.94406,0.88991,0.96283,0.74915,0.93942,0.89425,0.95617,0.69772,1.00481,1.6047,0.57774,1.2534,0,0.000665339,0.000665339,0.000665339
81,1690.39,1.03145,2.02004,0.62997,1.13052,0,0.9533,0.88295,0.96491,0.74958,0.95979,0.88729,0.96014,0.69254,1.00857,1.68096,0.56866,1.25489,0,0.000657963,0.000657963,0.000657963
82,1712.73,1.06446,2.15526,0.64679,1.14896,0,0.95444,0.88991,0.95972,0.73984,0.96049,0.89202,0.96002,0.69904,1.1017,1.60508,0.57775,1.30982,0,0.00065055,0.00065055,0.00065055
83,1733.78,1.03969,2.07111,0.63187,1.12346,0,0.94336,0.895,0.96146,0.73465,0.94903,0.90297,0.96206,0.69625,1.10585,1.72323,0.58897,1.30841,0,0.000643101,0.000643101,0.000643101
84,1753.77,1.04559,2.07211,0.63353,1.14124,0,0.93928,0.90433,0.96408,0.73307,0.94075,0.91569,0.964,0.70398,1.10463,1.73831,0.59471,1.30539,0,0.000635617,0.000635617,0.000635617
85,1776.09,1.03911,2.06865,0.62933,1.12679,0,0.95822,0.8717,0.95867,0.72182,0.94554,0.88729,0.95764,0.688,1.19127,1.60965,0.61143,1.37021,0,0.000628101,0.000628101,0.000628101
86,1800.62,1.08948,2.22915,0.66321,1.15351,0,0.94457,0.89339,0.96338,0.73357,0.94468,0.89777,0.95836,0.70135,1.10124,1.53146,0.56615,1.29378,0,0.000620555,0.000620555,0.000620555
87,1821.03,1.03103,2.08697,0.62758,1.12501,0,0.94032,0.89122,0.9604,0.73919,0.93628,0.90511,0.96105,0.70016,1.09026,1.59186,0.56869,1.30492,0,0.000612981,0.000612981,0.000612981
88,1841.48,1.03561,2.00132,0.61732,1.12922,0,0.93713,0.89384,0.96264,0.74059,0.93605,0.89777,0.95829,0.69015,1.0685,1.62666,0.57363,1.30173,0,0.00060538,0.00060538,0.00060538
