epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1222.47,1.63658,2.12973,2.01146,0.3733,0.34663,0.34002,0.15592,2.08274,2.24989,2.48848,0.000643101,0.000643101,0.000643101
43,1251.54,1.6679,2.16417,2.03016,0.36121,0.34416,0.33238,0.16252,2.03742,2.25819,2.45416,0.000628101,0.000628101,0.000628101
44,1280.73,1.66126,2.13409,2.02316,0.40796,0.34169,0.34023,0.1717,1.99231,2.23729,2.37843,0.000612981,0.000612981,0.000612981
45,1310.07,1.65596,2.13199,2.00679,0.36421,0.35098,0.34359,0.16482,2.0194,2.19601,2.4297,0.000597754,0.000597754,0.000597754
46,1339.24,1.66811,2.13197,2.00832,0.35194,0.33799,0.33275,0.16469,2.03024,2.25135,2.40039,0.000582435,0.000582435,0.000582435
47,1368.37,1.65861,2.14375,1.99888,0.36135,0.33565,0.34554,0.17945,2.00671,2.20692,2.38751,0.00056704,0.00056704,0.00056704
48,1397.26,1.65083,2.12415,2.00617,0.3919,0.32636,0.33268,0.15917,2.07681,2.21717,2.47058,0.000551584,0.000551584,0.000551584
49,1426.41,1.64967,2.10356,2.00199,0.39661,0.34089,0.3405,0.16875,2.02218,2.18355,2.41984,0.000536081,0.000536081,0.000536081
50,1455.46,1.62841,2.07331,2.00183,0.42248,0.35755,0.34348,0.17137,2.01266,2.16247,2.40474,0.000520548,0.000520548,0.000520548
51,1484.52,1.65243,2.09209,2.01088,0.4325,0.32154,0.3473,0.17567,2.01866,2.1872,2.41471,0.000505,0.000505,0.000505
52,1515.08,1.63083,2.11612,2.01211,0.37297,0.36286,0.34728,0.1631,2.06258,2.20352,2.4609,0.000489452,0.000489452,0.000489452
53,1546.54,1.64375,2.0842,2.00553,0.35237,0.35582,0.34557,0.16279,2.05371,2.20962,2.44964,0.000473919,0.000473919,0.000473919
54,1575.97,1.60073,2.02476,1.95503,0.42387,0.35976,0.35361,0.17619,2.0406,2.14952,2.43694,0.000458416,0.000458416,0.000458416
55,1605.5,1.62145,2.05072,1.98878,0.41906,0.36786,0.35147,0.1685,2.03167,2.14725,2.44326,0.00044296,0.00044296,0.00044296
56,1635.04,1.60938,2.05896,1.98252,0.35118,0.3475,0.34455,0.17096,2.04469,2.22085,2.44544,0.000427565,0.000427565,0.000427565
57,1664.4,1.65698,2.08766,1.9973,0.34608,0.36612,0.34405,0.17444,2.00968,2.15808,2.36756,0.000412246,0.000412246,0.000412246
58,1693.82,1.61315,2.04335,1.96294,0.49164,0.30783,0.33877,0.17596,2.00859,2.15425,2.37804,0.000397019,0.000397019,0.000397019
